Date,Daily new confirmed cases,Total confirmed cases,Daily new deaths,Total deaths,Daily new recovered,Total recovered,Daily New Tests,Total Tests,Active Cases
3/8/2020,3,3,0,0,0,0,9,120,3
3/9/2020,0,3,0,0,0,0,7,127,3
3/10/2020,0,3,0,0,0,0,10,137,3
3/11/2020,0,3,0,0,2,2,10,147,1
3/12/2020,0,3,0,0,0,2,16,163,1
3/13/2020,0,3,0,0,0,2,24,187,1
3/14/2020,0,3,0,0,0,2,24,211,1
3/15/2020,2,5,0,0,0,2,30,241,3
3/16/2020,3,8,0,0,1,3,27,268,5
3/17/2020,2,10,0,0,0,3,49,317,7
3/18/2020,4,14,1,1,0,3,10,327,10
3/19/2020,3,17,0,1,0,3,46,373,13
3/20/2020,3,20,0,1,0,3,36,409,16
3/21/2020,4,24,1,2,0,3,90,499,19
3/22/2020,3,27,0,2,2,5,65,564,20
3/23/2020,6,33,1,3,0,5,56,620,25
3/24/2020,6,39,1,4,0,5,92,712,30
3/25/2020,0,39,1,5,0,5,82,794,29
3/26/2020,5,44,0,5,6,11,126,920,28
3/27/2020,4,48,0,5,0,11,106,1026,32
3/28/2020,0,48,0,5,4,15,50,1076,28
3/29/2020,0,48,0,5,0,15,109,1185,28
3/30/2020,1,49,0,5,4,19,153,1338,25
3/31/2020,2,51,0,5,6,25,264,1602,21
4/1/2020,3,54,1,6,1,26,157,1759,22
4/2/2020,2,56,0,6,0,26,141,1900,24
4/3/2020,5,61,0,6,0,26,180,2080,29
4/4/2020,9,70,2,8,4,30,434,2514,32
4/5/2020,18,88,1,9,3,33,367,2881,46
4/6/2020,35,123,3,12,0,33,468,3349,78
4/7/2020,41,164,5,17,0,33,792,4141,114
4/8/2020,54,218,3,20,0,33,981,5122,165
4/9/2020,112,330,1,21,0,33,905,6175,276
4/10/2020,94,426,6,27,0,33,1148,7359,364
